,url,title,body
0,https://www.cnn.com/2020/11/18/tech/marissa-mayer-sunshine/index.html,Former Yahoo CEO Marissa Mayer's new company launches its first product,"Over the years, Mayer has been the subject of fascination. First, she was a rare female executive at the helm of a major tech company. Since then, people have been similarly interested in what would come after she departed Yahoo following its sale to Verizon in 2017. On Wednesday, Mayer announced that her secretive startup Lumi Labs -- which she cofounded in 2018 with Enrique Muñoz Torres, who also worked at Yahoo and Google (GOOG) -- has been rebranded as Sunshine and has its first product: Sunshine Contacts.  Sunshine Contacts is an app that aims to help organize and improve one's iPhone contact list using technology it develops, such as artificial intelligence. (The app is currently invite only. An Android app is in the works, according to Fast Company.) In part, Sunshine Contacts just cleans things up by correcting spelling errors and getting rid of duplicate contact entries. More sophisticated features promise to provide updated context about contacts when reaching out to them, such as surfacing the most recent correspondence so it's top of mind. Sunshine is expected to launch a suite of services in addition to Sunshine Contacts. Mayer, who serves as CEO, said in a statement that ""essential technologies that help us stay connected to those who matter most are antiquated. ""They've been around forever and we all see them as 'good enough,' despite their outsized impact on our interactions and relationships. At Sunshine, we believe there's an immense opportunity to make the mundane magical,"" said Mayer, whose company has raised more than $20 million in venture capital to date. ""It's been an extremely challenging and rewarding problem to tackle and we're just getting started."" Mayer, Google's 20th employee, is credited with the success of many of its most famous products and oversaw important launches, including Gmail and Google Maps. She's said to have introduced over 100 products and features while at Google.  Mayer's time at Yahoo, however, was less lauded. She was viewed as the company's best hope at maintaining relevance, and under her leadership, Yahoo spent billions acquiring companies including blog startup Tumblr, which it has since sold. Mayer also attracted big names like journalist Katie Couric, but ultimately, she was unable to turn around Yahoo in her five years leading the business. "
1,https://www.cnn.com/2020/11/17/success/honda-civic-unveiled-twitch/index.html,Honda unveils its new Civic on Twitch to attract younger buyers,"The Civic, with its affordable price tag, good fuel economy and excellent safety ratings, has been the best-selling passenger car in America for the past four years, excluding corporate fleet sales, and it's on track to be the best seller again this year, according to Kelley Blue Book.  The Civic is sold in more than 170 countries but the US, alone, accounts for nearly half of its sales, said Gary Robinson, assistant vice president for product planning at American Honda Motor Company, the Japanese automaker's US arm. ""It's been one of the best-selling cars in America the entire time it's been out,"" he said. The Civic was first sold in the US in 1973, shortly after the model was introduced in Japan. It met with immediate success thanks, in part, to an OPEC oil embargo that caused gasoline prices to surge, spurring demand for fuel-efficient cars. The term ""best-selling car,"" of course, does not include crossover SUVs, which sell in even higher numbers these days. That's why Honda's best-selling model overall in the US is the compact sport utility vehicle, the CR-V, not the Civic.  But the Civic is important for Honda because it attracts young, value-focused buyers (prices for the current Civic start at just over $20,000.) Those Civic buyers, as they get older and their incomes increase, often become loyal Honda customers, Robinson said. That's why Honda revealed the new Civic on Twitch, a streaming and social media platform for video game players, Tuesday evening. Two-thirds of Twitch users are under the age of 35, according to Honda. Honda claims to be the only automaker with a dedicated gaming channel on the network. The design of the Civic looks more restrained and upscale than the current model. It's intended to make the car appear larger than it is. New taillights, with a strong horizontal line, add an impression of width. Changes were also made to improve visibility for the driver. The windshield, and the entire passenger cabin, have been moved further back to give the car a longer hood while moving the windshield closer to the driver for better visibility to the sides. Inside, the new Civic will have its first fully-digital gauge cluster as standard equipment. A honeycomb mesh accent along the dashboard hides air vents to give the interior a simpler appearance. Honda didn't provide any details about the car's engine or transmission except that, executives said, manual transmissions will be available in all versions, at least as an option. Executives also said the new Civic will be more powerful and more fuel-efficient than the current model. The company has offered hybrid versions in years past as well, though for the previous generation Honda moved the hybrid model that used the basic Civic design to its own nameplate, Insight. The new Civic will go on sale in the late spring starting with the sedan version. Later, the hatchback and the performance-oriented Civic Si and Civic Type R models will go on sale. "
2,https://www.cnn.com/2020/11/18/investing/arrival-startup-spac/index.html,Electric bus startup Arrival rides latest craze to Wall Street,"Arrival said in a statement on Wednesday that it has agreed to merge with ""blank-check"" company CIIG, in the United States, a deal that values the startup at $5.4 billion and gives it a stock market listing.  The transaction is expected to close in the first quarter of 2021. Arrival said it would raise around $660 million from the deal, and be listed on the Nasdaq under the ticker symbol ""ARVL."" Arrival had been ranked among the top 10 most valuable UK startups as a private company. CIIG is a special purpose acquisition company, or SPAC, which means it has limited operating assets and raised capital through an IPO for the purpose of buying an existing business. CIIG was founded by Peter Cuneo, a former CEO of Remington Products who is also credited with turning around media giant Marvel. Arrival is the latest electric automaker to take advantage of seemingly limitless investor appetite for SPACs. Rival startups Nikola Corp and Fisker both announced earlier this year they would go public via the same route.  A staggering $54 billion has been raised by US-listed SPACs this year, according to Refinitiv. That is four times more than the next closest annual total. And 2020 isn't over yet. During the third quarter, SPACs accounted for nearly half of all money raised by US IPOs, according to Dealogic. Arrival has sought to stand out in the crowded field of electric vehicles by focusing its efforts on vans and buses. The company has also developed assembly ""microfactories"" that it says can be deployed anywhere in the world within six months. Major carmakers Hyundai (HYMTF) and Kia Motors have already invested in Arrival, as have funds managed by investment giant BlackRock. UPS (UPS), another early investor, announced earlier this year that it would purchase at least 10,000 electric vans from the startup.  ""Arrival's bold, game-changing approach to the production of electric vehicles made the company the clear winner in our search for a partner,"" Cuneo said in a statement on Wednesday. ""We look excitedly to the future and to our partnership with Arrival's talented leadership team."" The world's top automakers have in recent years committed huge sums to the development of electric vehicles, a transformation needed to meet tough new emissions standards in China and Europe. The UK government on Wednesday moved up its ban on gasoline and diesel cars by five years to 2030. Volkswagen (VLKAF) plans to roll out more than 60 new electrified models over the next decade, for example. Toyota (TM) has outlined a goal to have electric vehicles account for roughly half its sales by 2025. — Michelle Toh, Matt Egan and Hanna Ziady contributed reporting."
3,https://www.cnn.com/2020/11/18/business/diesel-petrol-ban-uk/index.html,UK to ban sales of new diesel and gasoline cars in 2030,"The UK government said in a statement Wednesday that it would end the sale of new gasoline and diesel cars and vans five years earlier than previously planned, putting it on course to be the first G7 country to decarbonize road transport. Sales of new hybrid vehicles will be allowed to continue until 2035.  The ban is part of a broader ""green industrial revolution"" blueprint announced by Prime Minister Boris Johnson that includes £12 billion ($16 billion) in government investment. The government hopes the private sector will chip in over three times that amount.  ""Although this year has taken a very different path to the one we expected, the United Kingdom is looking to the future and seizing the opportunity to build back greener,"" Johnson said in a statement. ""The recovery of our planet and of our economies can and must go hand-in-hand."" To accelerate sales of cleaner vehicles, the government will spend £1.3 billion ($1.7 billion) on electric vehicle charging points, and nearly £500 million ($664 million) to develop and produce batteries for electric cars. Some £582 million ($773 million) in subsidies will make zero and ultra-low emission vehicles cheaper for people to buy. But the more aggressive deadline could pose problems for the British auto industry, which has been hobbled by years of uncertainty over the country's exit from the European Union and the economic fallout from the coronavirus. Production has slumped dramatically, and the industry has warned that failing to strike a new trade deal with the European Union before the end of December deadline would cost it £47 billion ($62.5 billion) over the next five years. ""We share government's ambition for leadership in decarbonizing road transport and are committed to the journey,"" Mike Hawes, chief executive of the Society of Motor Manufacturers and Traders, said in a statement. ""Manufacturers have invested billions to deliver vehicles that are already helping thousands of drivers switch to zero, but this new deadline ... sets an immense challenge."" The new UK deadline is among the most aggressive in the world. Norway, which has a much smaller economy than Britain and a significant head start in the race to put more electric cars on the road, has said that all new passenger cars and vans sold should be zero-emission vehicles by 2025. Hawes said that much more work needs to be done in the United Kingdom. ""Success will depend on reassuring consumers that they can afford these new technologies, that they will deliver their mobility needs and, critically, that they can recharge as easily as they refuel. For that, we look to others to step up and match our commitment,"" he said. ""We will now work with government on the detail of this plan, which must be delivered at pace to achieve a rapid transition."" Other components of the UK climate plan announced on Wednesday include quadrupling the production of offshore wind by 2030, boosting hydrogen and nuclear power, improving public transportation and making homes and public buildings more energy efficient. The government also wants to expand efforts to plant trees, and develop technology that allows carbon emissions to be captured before they harm the environment. ""This is a shared global challenge — every country in the world needs to take action to secure the future of the planet for our children, grandchildren and generations to come,"" Johnson said."
4,https://www.cnn.com/2020/11/03/business/reliance-industries-shares-mukesh-ambani-intl-hnk/index.html,Reliance CEO Mukesh Ambani loses billions as oil slump hits shares,"The wealth of Asia's top billionaire fell by about $6.5 billion on Monday after shares in his conglomerate plunged as much as 8.6%, according to the Bloomberg Billionaires index, which tracks the world's wealthiest people. Shares of Reliance Industries dropped in Mumbai after the company posted disappointing earnings late Friday, mainly due to a tough quarter for its giant oil refinery business. Earnings for that unit ""were much weaker than our estimate,"" analysts at Nomura wrote in a research note following the report. Pretax profit fell 30% over the three months through September compared to a year ago, although other parts of Reliance helped offset the slump in oil, including its retail and technology units, the analysts noted. Reliance stock was little changed Tuesday. Reliance is one of India's most valuable and recognizable companies. The powerhouse conglomerate — which spans oil, petrochemicals, telecommunications and retail — has been undergoing a shift in focus recently as Ambani, its chairman and CEO, tries to transform it into a global tech giant.  Ambani turned heads earlier this year after he raised more than $20 billion in just four months for the tech arm of his business, Jio Platforms. Half of that was secured in just one month, underscoring the executive's aggressive ambitions. Analysts have said that the CEO is under pressure to prove out the technology his firm has developed and offset the massive declines he's experiencing in oil and other sectors. The coronavirus pandemic has ravaged global oil demand this year, due to steep drops in travel, transport, industrial and commercial activity. Ambani's ambitions don't end with tech. Last month, the billionaire continued his fundraising spree, this time focusing his efforts on the company's shopping empire, Reliance Retail. And in recent weeks, Reliance has clashed with US juggernaut Amazon (AMZN) over a deal it struck with a local retail chain, underscoring the fierce battle the company is waging to improve its standing in the industry. Ambani, who is still estimated to be worth $71 billion, became one of the world's 10 wealthiest people this year as he built up his group's massive war chest. Reliance Industries shares are up 25% for the year so far, helping boost Ambani's net worth by more than a fifth, or $12.5 billion, according to Bloomberg Billionaires. — Sherisse Pham contributed to this report."
5,https://www.cnn.com/2020/10/31/success/ssc-tuatara-speed-record/index.html,Car company that claimed speed record will do it over,"The vehicle, which was tested on a closed-off seven-mile stretch of a Nevada highway on October 10, reached 331.15 miles per hour -- the highest speed ever achieved on a public road, according to the company. The claimed official top speed of a combined average of 316.11 mph was the result of two runs in opposite directions, to account for wind and road variations. A number of automotive journalists and bloggers analyzed video that purported to show the 331 mph run and noticed discrepancies in the speeds shown in the video and the times in which the car crossed known landmarks along the highway. The company later admitted that there had been problems with synchronization and timing in the video which had been produced by an outside production company. SSC North America is not backing down from claims that its car, the SSC Tuatara, actually hit the speeds claimed. But it is planning to repeat the attempt so there are no questions whatsoever surrounding the record, said founder Jerod Shelby.  ""No matter what we do in the coming days to salvage this particular record there's always going to be a stain on it,"" he said in a video statement released late Friday.  Shelby is not related to Carroll Shelby, the famed founder of Shelby American, the company that makes Shelby Cobra sports cars and Shelby Mustangs. The SSC Tuatara is powered by a 1,750-horsepower turbocharged V-8 engine. It's named after a lizard from New Zealand, which takes its name from a Māori word for ""peaks on the back."" The company plans to produce a total of 100 Tuataras, with a starting price of $1.9 million each. SSC previously had a world speed record with another car, the Ultimate Aero, which got to 256.14 mph in 2007, according to the company. In order to respond to additional questions raised about timing equipment during that first run -- speeds were recorded using GPS -- equipment made by multiple companies will be used and representatives of those firms will be on site to monitor the installation and use of the equipment, Shelby said in his video statement. During the first attempt, only one company's equipment was used and that firm reportedly later said its representatives were not on site to personally oversee its installation and use. SSC has not said when the next record attempt might take place. Michelle Toh contributed to this report."
6,https://www.cnn.com/2020/11/18/business/larry-fink-trump-biden-election/index.html,Wall Street's $8 trillion man: Markets are 'tired' of Trump chaos,"At least, that's the conclusion from one of the most powerful figures on Wall Street: BlackRock CEO Larry Fink. ""I do believe strongly that the market is in desire of more stability, of less volatility,"" Fink said during a pre-taped conversation airing Wednesday evening at the Bloomberg New Economy Forum.  ""They're looking for a voice that moderates, not a voice that incites,"" the BlackRock chief said, according to a transcript viewed first by CNN Business. ""I truly believe President-elect Biden can be that voice of reason.""  The pro-business pillars of the Trump agenda, namely tax cuts and deregulation, helped boost markets. But Fink's comments underscore some of the downsides of the Trump era: unpredictable decision-making, firings of top officials via tweet and a deepening of political divisions.  ""We're all tired. We're tired about all the volume we hear out of Washington,"" Fink said during the conversation with David Rubenstein, the billionaire co-founder and executive chairman of the Carlyle Group. 'A little more global harmony' The BlackRock (BLK) CEO added that he believes investors are ""encouraged by having a leader now that is more inclusive, a leader that could probably bring a little more global harmony."" Fink referenced Biden's November 8 victory speech, when the president-elect pledged not to govern the blue states or red states, only the United States.  ""For all those of you who voted for President Trump, I understand the disappointment tonight,"" Biden said. ""I've lost a couple of times myself. But now, let's give each other a chance."" After stumbling the week before the election, the S&P 500 (SPX) notched its best election week performance since 1932. The rally was driven by relief over the relative calm of the election itself, the emergence of a winner and hopes that Republicans' stronger-than-expected Senate performance will keep government divided in 2021. ""Gridlock"" in Washington means Biden likely won't be able to hike taxes or enact sweeping climate policies. ""The market likes a divided government,"" Fink said. ""They want to make sure there's proper checks and balances."" Fink has mainly contributed money to Democrats, including Hillary Clinton during her unsuccessful 2016 bid for the presidency. At the time, Fink was mentioned as a potential Treasury secretary in a Clinton administration. But he has also backed Republicans, such as former House Speaker Paul Ryan.  Inequality is getting worse BlackRock the world's largest asset manager, overseeing $7.8 trillion. And its iShares family of ETFs is incredibly popular, hauling in $41 billion of assets during the third quarter alone.  In fact, BlackRock is so powerful that the federal government asked for its help during each of the last two recessions. In March, the Federal Reserve made history by setting up a special purpose vehicle to buy junk bonds and other corporate debt for the first time ever. The Fed tapped BlackRock to manage the program, which helped restore confidence in financial markets.  Fink praised the Federal Reserve's response to the crisis as ""nothing but amazing.""  However, he warned the pandemic is worsening the divide between rich and poor. ""The poor do not own financial assets, so the divide because of the strength of the equity markets and the job losses that we've witnessed has really created even more of an income inequality,"" Fink said. ""If we are going to try to really rebuild our economy, we need a very targeted fiscal stimulus for those who are still unemployed."" If Biden asked for his advice, Fink said, he would urge the incoming administration to focus on creating jobs through a long-overdue infrastructure package to fix crumbling roads and bridges. ""More than any other country, we need a strong infrastructure bill right now,"" he said. ""We have $2 trillion of deferred maintenance."" Rubenstein asked the BlackRock boss if he'd consider leaving his job to become Fed chief, Treasury Secretary or another major policy job. Fink demurred, but he didn't rule it out. ""I've committed to my employees and to my board and to my family already,"" Fink said, ""I'm staying in New York for the time being."""
7,https://www.cnn.com/2020/07/09/energy/iea-clean-energy-transition-summit-spc-intl/index.html,"'Coal has no place in Covid-19 recovery plans,' says UN chief","""Coal has no place in Covid-19 recovery plans,"" he said on Thursday, via video link during an online summit hosted by the International Energy Agency (IEA). The summit included 40 government ministers from countries around the world, representing 80% of global energy use and emissions. Its aim was to set out plans to reduce global emissions while also boosting economic recovery after Covid-19.  Guterres commended governments that have committed to green recovery plans, citing the EU, South Korea, Nigeria and Canada.  But he said many others had missed the point.  ""Some countries have used stimulus plans to prop up oil and gas companies that were already struggling financially. Others have chosen to jumpstart coal-fired power plants that don't make financial or environmental sense."" He added that new research on recovery packages in G20 nations show that twice as much recovery money has been spent on fossil fuels as on clean energy. A blueprint released by the IEA in June called on governments to invest $3 trillion in a green recovery.  It said failure to act now would risk a repeat of the aftermath of the 2008 global financial crisis, when governments did not prioritize stimulus spending on climate, allowing CO2 emissions to bounce back with what the IEA describes as the largest increase ever recorded. Guterres said as nations channel ""trillions of dollars of taxpayers' money into recovery strategies"" they must invest in a more sustainable future. ""We can invest in fossil fuels whose markets are volatile and whose emissions lead to lethal air pollution, or we can invest in renewable energy which is reliable, clean and economically smart,"" he said. At the summit, Zhang Jinhua, director of China's National Energy Administration, said the country, which accounts for more than 50% of global coal use today, is committed to developing its clean energy sector. Fatih Birol, executive director of the IEA, told CNN that he was ""heartened"" by China's response. He added that the summit, which drew over half a million online viewers, proved there was a widespread desire for change.  ""There is a global momentum to build a sustainable economic recovery process and momentum for clean energy transition,"" he said. "
8,https://www.cnn.com/2020/11/17/business/boeing-737-max-grounding-cost/index.html,Boeing's 737 Max debacle could be the most expensive corporate blunder ever,"The two fatal crashes that led to the grounding of the Boeing 737 Max killed 346 people.     Financially, Boeing continues to pay a hefty cost to ensure the safety of future 737 Max passengers. Direct costs Boeing has detailed about $20 billion in direct costs from the grounding: $8.6 billion in compensation to customers for having their planes grounded, $5 billion for unusual costs of production, and $6.3 billion for increased costs of the 737 Max program. The company also spent nearly $600 million for jet storage, pilot training and software updates that are not included in the company's overall cost estimate. It also established a $100 million victim compensation fund, which is also not included in Boeing's $20 billion in estimated costs.  So the costs of the grounding released by Boeing total $20.7 billion. Boeing's legal liability will almost certainly add to that cost. Published reports show that the families of the first 11 victims to settle with Boeing received at least $1.2 million each. That means the total cost is likely to top $500 million. Interest costs are adding up, too. Boeing borrowed billions of dollars at a roughly 5% interest rate to keep building 737 Max planes it can't deliver. The company built 450 Max jets during the grounding, but it hasn't delivered a single 737 Max plane in that nearly nearly two-year period.  Only about half will be delivered next year, and some deliveries will stretch as far as 2023. Boeing doesn't get most of the money from a sale until the plane is delivered to the airline, so the interest will pile up — perhaps by about $3 billion or $4 billion, said Chris Denicolo, aerospace credit analyst with Standard & Poor's.  What's clear is that the $20.7 billion in costs that Boeing has detailed is only the starting point. Bank of America puts the costs at more than $25 billion. ""It's going to be more than $20 billion. But it's hard to say how much more it's going to be,"" said Denicolo. Lost sales If financial damage from the 737 Max remains in the $20 billion range, that would not put it in the running for the most expensive mistake by a company. Volkswagen has spent €32 billion, or $38 billion, on its emissions cheating scandal. The most expensive mistake to date is the $68 billion cost to BP of the Deepwater Horizon explosion and oil spill of 2010. But BP lost little or no sales because of Deepwater Horizon, and VW suffered only a minor, short-term loss of sales from the emissions scandal. By contrast, it's clear that Boeing has suffered a huge loss in sales in the wake of the 737 Max grounding.  Because of the grounding, Boeing lost the cancellation fees that had been written into in its sales contracts for 737 Max orders. As the Covid-19 pandemic sent air travel demand plummeting, airlines have begun taking advantage of the free cancellation policy, anticipating they won't need new planes for several years. Boeing had disclosed 448 canceled orders for the Max so far this year, compared with only nine for its other models. In addition it has dropped another 782 orders from its backlog of 737 Max orders because it believes those orders are no longer certain enough to rely on. In at least some cases those uncertain plane orders are jets airline customers have said they no longer want. A 737 Max typically sells for about $55 million, or half of the stated list price, so the worst-case scenario for Boeing is that it could lose as much as $67 billion in revenue from the drop in sales.  But experts say it's more likely that Boeing will eventually sell those planes, though at a steep discount, in some cases to the same customers who are now canceling the orders. S&P's Denicolo and another industry expert agree that those steep discounts in sales price, which wouldn't have taken place if not for the grounding, are the real financial risk for Boeing.  ""Say you're an airline. If there's no longer any penalty, why not cancel all my orders, and I can buy them back much cheaper?"" said the industry expert, who spoke on the condition of anonymity.  Boeing will not comment on the prices paid for its planes or any discounts. But the expert said it might be as much as a $20 million discount per plane, or roughly $25 billion total — more than doubling the true cost of the grounding.  Discounting many of the 3,300 other Max orders still on the books could make Boeing's total cost of its 737 Max debacle climb even higher, perhaps past the $68 billion price tag of Deepwater Horizon."
9,https://www.cnn.com/2020/11/18/business/stock-market-election-trump-jpmorgan/index.html,JPMorgan lays out the nightmare election scenario that could send markets into a tailspin,"Michael Cembalest, chairman of market and investment strategy at JPMorgan Asset Management, warned in a report Wednesday of the ""remote risk of an American horror story"" and ""constitutional mayhem."" Cembalest, who helps oversee $2.2 trillion in assets, pointed to President Donald Trump's Tuesday night firing of the top US election security official, Attorney General William Barr's decision to authorize prosecutors to probe alleged voter fraud and the fleeting drama over certifying election results in Michigan's largest county. ""Bottom line: a LOT of very unorthodox things have to happen for Trump to be reelected,"" the JPMorgan strategist wrote. ""Even so, I'm not ruling anything out."" Post-election chaos would of course rattle markets, which famously hate uncertainty. The smoother-than-feared election set off a celebration on Wall Street, with the S&P 500 notching its biggest post-election rally since 1932.  But if investors don't know who's going to be in charge of the world's largest economy, they could easily sell first and ask questions later.  ""Markets might react negatively if the US as the world's reserve currency nation is seen as sliding down a path toward electoral illegitimacy due to post-election maneuvers by political parties,"" Cembalest wrote. 'Dueling inaugurations' To be sure, legal experts say Trump's long-shot bid at overturning the election is just that, a long-shot. Put simply, Trump is losing by too many votes in too many states.  As Cembalest notes, Trump would need to ""reverse or impede results in three states"" to prevent Joe Biden from reaching the 270 electoral votes required by the Constitution. And as CNN has reported, despite Trump's baseless claims (which Twitter has repeatedly flagged), there is no evidence of the widespread fraud required to overturn those results.  ""Relax. Biden will be sworn in on January 20,"" Ohio State constitutional election law expert Edward Foley wrote in a Washington Post op-ed last week, which was cited by Cembalest.  Even so, the JPMorgan strategist laid out several developments that could cast doubt on that outcome, including that one or more states submit competing slates of electors. Those competing slates would then be resolved January 6 by the new Congress through rules spelled out in the Electoral Count Act of 1887. ""The nightmare scenario for markets,"" according to Cembalest, would be if Senate Republicans declare the ECA unconstitutional, flip three states in Trump's favor to give him the required 270 electoral votes and Democrats refuse to participate.  ""All of which sets up the prospect of dueling inaugurations,"" Cembalest wrote, noting that this outcome was only ""narrowly averted"" in 1876. Another risk laid out by Cembalest is if Barr directs investigators to ""seize or impound election records"" to probe for voter fraud, slowing down the process.  Dimon: 'We have a new president' For the most part, investors have appeared to ignore Trump's war on the election results.  Markets have not flinched in response to headlines about his campaign's many lawsuits. If anything, Wall Street came to terms with the outcome of the election even before CNN and other media outlets projected Biden to be the winner.  Investors have largely focused on other matters, including the makeup of the US Senate, progress in the quest to develop a coronavirus vaccine to fight the worsening pandemic and the prospects for the economic recovery.  But some are beginning to raise concerns about a transfer of power.   ""I think we're making far too little of this,"" CNBC anchor Jim Cramer said Wednesday while expressing worries about a peaceful transition to a new administration.   Liz Ann Sonders, chief investment strategist at Charles Schwab, said that although her firm's experts don't see much of a risk of ""rogue"" electors, there ""could certainly still be some black swan political event."" Perhaps heeding the warnings of Cembalest, JPMorgan CEO Jamie Dimon has repeatedly urged Americans to respect the outcome of the election.  ""We need a peaceful transition. We had an election. We have a new president,"" Dimon said Wednesday during The New York Time's virtual DealBook conference. ""You should support that whether you like it or not,  because it's based on a system of faith and trust."""
